Name,URL,Tags,content-type
How to use Twitter,https://x.com/chandanaveli/status/1776960432693039369,observation,my-tweet
All creative people should get a website,https://x.com/chandanaveli/status/1696012954058338695?s=20,observation,my-tweet
The amount of human history living inside our genes,"https://x.com/chandanaveli/status/1740232597215821836?s=20 ",observation,my-tweet
A common nature of many things in life,https://x.com/chandanaveli/status/1572194097481543683?s=20,observation,my-tweet
"Today's attention span is more about your nutrition and well-being, rather than last day's screentime",https://x.com/chandanaveli/status/1742527430630252605?s=20,observation,my-tweet
Growing thread of things to be grateful for on a global level,https://x.com/chandanaveli/status/1746206626930217180?s=20,observation,my-tweet
People getting very good at one or many things is (mostly not an anomaly),https://x.com/chandanaveli/status/1606655105763540992?s=20,observation,my-tweet
How I visualize new ideas (the creative process),https://x.com/chandanaveli/status/1603252015001325569?s=20,observation,my-tweet
Mentally visualizing talents as a symphony,https://x.com/chandanaveli/status/1595410337016135680?s=20,observation,my-tweet
Advice on improving writing,https://twitter.com/chandanaveli/status/1570242973107101697,observation,my-tweet
Best way to learn a musical instrument is by learning how to play your favourite song,https://x.com/chandanaveli/status/1585840016781344769?s=20,observation,my-tweet
Being in the middle-class with some drip is a great platform,https://x.com/chandanaveli/status/1759449891896492338,observation,my-tweet
Most people don’t ever get to sing and play a musical instrument.,https://x.com/chandanaveli/status/1754073259098734616?s=20,observation,my-tweet
A glorious memory of waking up from a fever as a child,https://x.com/chandanaveli/status/1734472368209134019?s=20,observation,my-tweet
My dream as a piano player,https://x.com/chandanaveli/status/1569207075397406720?s=20,observation,my-tweet
I'm an 'internet explorer’,https://x.com/chandanaveli/status/1705045453283459490?s=20,observation,my-tweet
My random and stinging urge to write an autobiography,"https://x.com/chandanaveli/status/1480853809068843014?s=20  ",observation,my-tweet
On moving closer to work,https://x.com/chandanaveli/status/1747626584138240511,observation,my-tweet
"Attention span is proportional to your well-being, not your screen-time",https://x.com/chandanaveli/status/1742527430630252605,"observation, technology",my-tweet
Knowing programming in this era of software has good leverage,https://x.com/chandanaveli/status/1786291592564797654,technology,my-tweet
"

All social media websites and internet cultures are sort of rabbit holes",https://x.com/chandanaveli/status/1755226502395040047,technology,my-tweet
"

What running Arch Linux (Operating System) is like",https://x.com/chandanaveli/status/1594716643996868609?s=20,technology,my-tweet
"

Programming and automation haven't really come down to people",https://x.com/chandanaveli/status/1734804951941927112?s=20,technology,my-tweet
"

I look forward to the convergence of AI and hardware",https://x.com/chandanaveli/status/1749305864073392639?s=20,technology,my-tweet
On GitHub Copilot — the experience,https://x.com/chandanaveli/status/1715349143940411726,technology,my-tweet
"

Thread about my phone - Pixel 8 Pro",https://x.com/visakanv/status/1769814366210150488?s=20,technology,my-tweet
"

Internet has silos, social media apps especially",https://x.com/chandanaveli/status/1755226502395040047?s=20,technology,my-tweet
"

What openwrt lets you to do to routers:",https://x.com/chandanaveli/status/1561936757066567680?s=20,technology,my-tweet
"

Thread about the UX and general personalities of major AI chat models",https://x.com/chandanaveli/status/1687075579781328896,technology,my-tweet
"

On Open Source Projects that has special cultures and tools",https://x.com/chandanaveli/status/1695338821171196203?s=20,technology,my-tweet
"

About being online in the 2010s",https://x.com/chandanaveli/status/1773603432680567257,technology,my-tweet
"

Electric scooters lie in the antipodal point of where classical motorcycles lie",https://twitter.com/chandanaveli/status/1724029407025848527,technology,my-tweet
MacBook Pro Spirit/Deity,https://x.com/chandanaveli/status/1782008556323287220,"observation, technology",my-tweet
"

My lifestyle is 'vibes-based (?)",https://x.com/chandanaveli/status/1759947037305372788,"experiences, observation",my-tweet
"

Reflections from 2021: Contains wishful thinking and subtly motivating words. Feels cringe now",https://twitter.com/chandanaveli/status/1476787793552568322,experiences,my-tweet
"

Tweets from Israel",https://twitter.com/chandanaveli/status/1546076212350828544?,experiences,my-tweet
"

Descriptions about Chalakudy — my home",https://twitter.com/chandanaveli/status/1485095590744977408?,experiences,my-tweet
"

December 9 2023's Thindi (Food) Walk with Thindi Capital:",https://x.com/chandanaveli/status/1733831897237823763?s=20,experiences,my-tweet
"

There was a time I thought the Police was the best band in the world, but",ttps://x.com/chandanaveli/status/1601573269122883584,music,my-tweet
"

Praise for the Indian rock band - F16s",https://x.com/chandanaveli/status/1775835453632950274,music,my-tweet
"

istening and reviewing [Iyer's Filter Coffee](https://x.com/iyersfilterkapi)",https://x.com/chandanaveli/status/1695384844061253657,music,my-tweet
"

Listening to the Legendary playlist on Spotify",ttps://x.com/chandanaveli/status/1684125584551723009,music,my-tweet
"

The dexterity of the guitar",ttps://x.com/chandanaveli/status/1776132450768302215,music,my-tweet
"On Mark Zuckerburg
",https://x.com/chandanaveli/status/1655593123211513857?s=20,funny,my-tweet
" The degree of dependence on romantic crushes
",https://x.com/chandanaveli/status/1758014342061252744?s=20,funny,my-tweet
"In Bengaluru, people come meetup, sit in circles, and Tweet",https://x.com/chandanaveli/status/1744333630103568878,funny,my-tweet
About terraces being a place with privacy for (Indian) kids,https://twitter.com/chandanaveli/status/1632786947423997957,funny,my-tweet
About roomates who set alarms and doesn't turn it off themselves,https://x.com/chandanaveli/status/1466625073654030336?s=20,funny,my-tweet
What North Indians think about South Indian languages,https://x.com/chandanaveli/status/1645835344565379075?s=20,funny,my-tweet
How good I am in programming – on a scale of 10,https://twitter.com/chandanaveli/status/1709776724224069740,funny,my-tweet
About women with nose rings,https://twitter.com/chandanaveli/status/1683868810821124097,funny,my-tweet
What Malayali driving instructors need to do,https://x.com/chandanaveli/status/1609901261507432449?s=20,funny,my-tweet
Why I write beautiful e-mails at work,https://x.com/chandanaveli/status/1720025292985503815?s=20,funny,my-tweet
"My workplace is too good, now I need a nemesis to spice things up",https://x.com/chandanaveli/status/1689300221120180224,funny,my-tweet
"

Aesthetics about the South Indian culture that I love:",https://twitter.com/chandanaveli/status/1577221715330945025?,culture,my-tweet
"

On Mani Ratnam's romantic movies",https://x.com/chandanaveli/status/1643809875833798659?s=20,culture,my-tweet
"

My favourite bad-ass imperial moments from world history",https://x.com/chandanaveli/status/1749718645478129920?s=20),culture,my-tweet
On Lijo Jose Pellissery,https://x.com/chandanaveli/status/1753248414425616544?s=20,culture,my-tweet
"In your 20s, a mere 4 year gap with someone can feel like",https://x.com/chandanaveli/status/1775509535110697255,,my-tweet
I have a vibes-based lifestyle,https://x.com/chandanaveli/status/1759947037305372788,observation,my-tweet
You need to wait to build a relationship with a software use it for thought,https://x.com/chandanaveli/status/1787438940678394204,observation,my-tweet
"
On the line of 'do 100 things, get out, and do things'
","
https://x.com/SP1NS1R/status/1707595027680317694?s=20
",,others-tweet
"
Master boring fundamentals; Play infinite games
","
https://x.com/nearcyan/status/1770005990479716488
",,others-tweet
"
A huge part of success is connections
","
https://x.com/emollick/status/1768304847055417431
",,others-tweet
"
Knowing the word for a thing doesn't mean you know the thing
","
https://x.com/nosilverv/status/1750451126359503267?s=20
",,others-tweet
"
Experts are fake, smart generalists rule the world
","
https://twitter.com/tszzl/status/1577059345883283456
",,others-tweet
"
If you're not annoying someone, you're not doing anything interesting
","
https://x.com/sashachapin/status/1753489473604915206?s=20
",,others-tweet
"
'I can author my life'
","
https://x.com/mbateman/status/1683487890905481218?s=20
",,others-tweet
"
The light bulb saved the whale and cities preserve forests
","
https://x.com/moultano/status/1785332914416488484
",,others-tweet
"
Visakan Veerasamy's thread on random historical events
","
https://x.com/visakanv/status/1113165222871674880?s=20
",,others-tweet
"
Why some things don't exist
","
https://x.com/naslouki/status/1747688262532026610?s=20
",,others-tweet
"
Intellectual capacity != mental richness
","
https://x.com/octopichael/status/1701474167609033031
",,others-tweet
"
Good generalists ask 'what is nobody else doing?' (Related to: what is worth doing?)
","
https://twitter.com/pronounced_kyle/status/1696939771111813169
",,others-tweet
"
All advice is context dependent
","
https://x.com/visakanv/status/1090128599603044352?s=20
",,others-tweet
"
What people want: automation, plants, sunlight, family
","
https://twitter.com/__drewface/status/1473684287648055309?s=20&t=z1wRwdmlyNf3owPQcj1KNQ
",,others-tweet
"
'Things around you weren't just always there; people made them happen'
","
https://twitter.com/collision/status/1529452415346302976?t=oTqPyZ_Eabytnd-gw0opyw
",,others-tweet
"
'the more you build, the more you have to pay to maintain'
","
https://twitter.com/Noahpinion/status/1731765206265864689
",,others-tweet
"
The mood for e/acc (effective accelerationism)
","
https://x.com/yacineMTB/status/1694852280481194232?s=20
",,others-tweet
"
'building trust requires risky micro-movements be made and reciprocated by all parties in order to progress'
","
https://twitter.com/mollyfmielke/status/1529490158214647813
",,others-tweet
"
Thiel's Closing Thoughts (CS183: Startup): 'There is something importantly singular about each new thing in the world. There is a mini singularity whenever you start a company or make a key life decision. In a very real sense, the life of every person is a singularity.'
","
https://x.com/BrianJJi/status/1710468010337550792?s=20
",,others-tweet
"
Summary of David Deutsch's book – The Beginning of Infinity
","
https://x.com/blisstweeting/status/1421947182341570562?s=20
",,others-tweet
"
Sam Altman: 'Generally the highest ROI comes from getting even better in areas where you're already strong, not improving in areas where you're weak.'
","
https://twitter.com/then_there_was/status/1723564875664994330
",,others-tweet
"
'if I don’t know something I can put a box there that says “there is a thing here but it is ambiguous and I dont know the answer yet”'
","
https://x.com/christineist/status/1637278683995201539?s=20
",,others-tweet
"“you simply have to go out and make your own opportunities. but once you do, the world really is open to you”",https://x.com/DanielleFong/status/1809660986812674124,,others-tweet
